file,num_banks,min,max,mean,median,std,variance
/data/pjattke/project_mcsee/3_sledgehammer/sledgehammer-nbanks=1--00000.csv,1,4.6079999999970936e-08,4.801599999999795e-07,5.463604829094088e-08,4.639999999999332e-08,3.654193666308446e-08,1.3353131350888764e-15
/data/pjattke/project_mcsee/3_sledgehammer/sledgehammer-nbanks=1--00001.csv,1,4.607899999997493e-08,4.835199999999977e-07,5.464109721932558e-08,4.639999999999332e-08,3.6549344188013695e-08,1.3358545605738904e-15
/data/pjattke/project_mcsee/3_sledgehammer/sledgehammer-nbanks=1--00002.csv,1,4.607899999997493e-08,4.3952000000006385e-07,5.460532087273918e-08,4.639999999999332e-08,3.647037679861168e-08,1.3300883838327134e-15
/data/pjattke/project_mcsee/3_sledgehammer/sledgehammer-nbanks=2--00000.csv,2,2.719999999973438e-09,4.44000000000052e-07,2.8813789730892694e-08,4.303999999997511e-08,3.946539043900677e-08,1.5575170425032468e-15
/data/pjattke/project_mcsee/3_sledgehammer/sledgehammer-nbanks=2--00001.csv,2,2.719999999973438e-09,1.2531199999999505e-06,2.8856626913921274e-08,4.303999999997511e-08,4.0060090935570844e-08,1.6048108857662052e-15
/data/pjattke/project_mcsee/3_sledgehammer/sledgehammer-nbanks=2--00002.csv,2,2.719999999973438e-09,1.068160000000022e-06,2.884768703687763e-08,4.303999999997511e-08,4.0055950676514795e-08,1.604479184599386e-15
/data/pjattke/project_mcsee/3_sledgehammer/sledgehammer-nbanks=3--00000.csv,3,2.719999999973438e-09,4.897600000000005e-07,1.9769926037336604e-08,3.039999999995824e-09,3.559619391221401e-08,1.2670890210359416e-15
/data/pjattke/project_mcsee/3_sledgehammer/sledgehammer-nbanks=3--00001.csv,3,2.5600000000706655e-09,5.014399999999503e-07,1.9874216872777676e-08,3.039999999995824e-09,3.6599213693233536e-08,1.3395024429629733e-15
/data/pjattke/project_mcsee/3_sledgehammer/sledgehammer-nbanks=3--00002.csv,3,2.719999999973438e-09,5.647999999999916e-07,1.9810477937768182e-08,3.039999999995824e-09,3.5908956167010115e-08,1.2894531330042538e-15
/data/pjattke/project_mcsee/3_sledgehammer/sledgehammer-nbanks=4--00000.csv,4,2.719999999973438e-09,5.140800000000213e-07,1.5156327197258176e-08,3.039999999995824e-09,3.2454985388782174e-08,1.0533260765860644e-15
/data/pjattke/project_mcsee/3_sledgehammer/sledgehammer-nbanks=4--00001.csv,4,2.719999999973438e-09,5.107200000000573e-07,1.516179870252888e-08,3.039999999995824e-09,3.2510292111912685e-08,1.0569190932018923e-15
/data/pjattke/project_mcsee/3_sledgehammer/sledgehammer-nbanks=4--00002.csv,4,2.5599999999622453e-09,5.02399999999909e-07,1.4977979862482398e-08,3.039999999995824e-09,3.146502647710671e-08,9.900478912050264e-16
/data/pjattke/project_mcsee/3_sledgehammer/sledgehammer-nbanks=5--00000.csv,5,2.719999999973438e-09,4.929600000000076e-07,1.2662554334825881e-08,3.679999999932175e-09,2.9050554184756745e-08,8.439346984414876e-16
/data/pjattke/project_mcsee/3_sledgehammer/sledgehammer-nbanks=5--00001.csv,5,2.719999999973438e-09,1.1022400000000208e-06,1.2687885286068135e-08,3.2000000000070167e-09,2.939194253089328e-08,8.638862857393333e-16
/data/pjattke/project_mcsee/3_sledgehammer/sledgehammer-nbanks=5--00002.csv,5,2.719999999973438e-09,5.142399999999783e-07,1.2663778429777508e-08,3.679999999932175e-09,2.9084792208761625e-08,8.45925137826841e-16
/data/pjattke/project_mcsee/3_sledgehammer/sledgehammer-nbanks=6--00000.csv,6,2.719999999973438e-09,5.233599999999997e-07,1.0914178423684212e-08,5.119999999978701e-09,2.744100109228019e-08,7.530085409465226e-16
/data/pjattke/project_mcsee/3_sledgehammer/sledgehammer-nbanks=6--00001.csv,6,2.719999999973438e-09,5.273600000000288e-07,1.0919999113437302e-08,5.1199999999244905e-09,2.7630402958892018e-08,7.634391676707488e-16
/data/pjattke/project_mcsee/3_sledgehammer/sledgehammer-nbanks=6--00002.csv,6,2.719999999973438e-09,5.295999999999957e-07,1.09318586090921e-08,5.1199999999244905e-09,2.762875960494917e-08,7.633483573080709e-16
/data/pjattke/project_mcsee/3_sledgehammer/02_acq_7_to_16_banks/sledgehammer-nbanks=7--00000.csv,7,3.999999999195619e-10,1.0151999999999966e-06,1.0108055013444315e-08,5.839999999974858e-09,2.6477998755394282e-08,7.010844180906611e-16
/data/pjattke/project_mcsee/3_sledgehammer/02_acq_7_to_16_banks/sledgehammer-nbanks=10--00000.csv,10,3.999999999195619e-10,1.0134399999999887e-06,9.627739238473092e-09,5.2799999999898935e-09,2.7786537614842205e-08,7.720916726210408e-16
/data/pjattke/project_mcsee/3_sledgehammer/02_acq_7_to_16_banks/sledgehammer-nbanks=10--00001.csv,10,3.999999999195619e-10,5.757600000000536e-07,9.44601713997751e-09,5.2799999999898935e-09,2.6297014638170804e-08,6.915329788801695e-16
/data/pjattke/project_mcsee/3_sledgehammer/02_acq_7_to_16_banks/sledgehammer-nbanks=10--00002.csv,10,3.999999999195619e-10,5.771200000000403e-07,9.414118660562292e-09,5.2799999999898935e-09,2.594748164185766e-08,6.732718035545402e-16
/data/pjattke/project_mcsee/3_sledgehammer/02_acq_7_to_16_banks/sledgehammer-nbanks=11--00000.csv,11,3.999999999195619e-10,9.896000000000557e-07,9.264872891151229e-09,5.2799999999898935e-09,2.6142610923499683e-08,6.834361058974849e-16
/data/pjattke/project_mcsee/3_sledgehammer/02_acq_7_to_16_banks/sledgehammer-nbanks=11--00001.csv,11,3.999999999195619e-10,5.85039999999998e-07,9.272675902713227e-09,5.279999999935683e-09,2.6159184548811224e-08,6.843029362587639e-16
