timestamp_sec,cmd,bg,bk,row,col
4.73980562e-04,act,110,11,1111000010001001,
4.74000642e-04,rd,110,11,,010000100
4.74013922e-04,pre_pb,110,11,,
4.74029682e-04,act,110,11,1111000010010010,
4.74046242e-04,rd,110,11,,001000100
4.74109522e-04,pre_pb,110,11,,
4.74176962e-04,act,110,11,1111000010001001,
4.74193522e-04,rd,110,11,,010000100
4.74210082e-04,pre_pb,110,11,,
4.74225922e-04,act,110,11,1111000010010010,
4.74242562e-04,rd,110,11,,001000100
4.74305762e-04,pre_pb,110,11,,
4.74334882e-04,act,110,11,1111000010001001,
4.74351522e-04,rd,110,11,,010000100
4.74385602e-04,pre_pb,110,11,,
4.74401442e-04,act,110,11,1111000010010010,
4.74418082e-04,rd,110,11,,001000100
4.74440562e-04,pre_sb,,11,,
4.74458802e-04,ref_sb,,11,,
4.74593522e-04,act,110,11,1111000010001001,
4.74610082e-04,rd,110,11,,010000100
4.74626722e-04,pre_pb,110,11,,
4.74642562e-04,act,110,11,1111000010010010,
4.74659202e-04,rd,110,11,,001000100
4.74715602e-04,pre_pb,110,11,,
4.74751442e-04,act,110,11,1111000010001001,
4.74768082e-04,rd,110,11,,010000100
4.74802162e-04,pre_pb,110,11,,
4.74818002e-04,act,110,11,1111000010010010,
4.74834562e-04,rd,110,11,,001000100
4.74891122e-04,pre_pb,110,11,,
4.74926082e-04,act,110,11,1111000010001001,
4.74942642e-04,rd,110,11,,010000100
4.74977522e-04,pre_pb,110,11,,
4.74993362e-04,act,110,11,1111000010010010,
4.75010002e-04,rd,110,11,,001000100
4.75066562e-04,pre_pb,110,11,,
4.75101522e-04,act,110,11,1111000010001001,
4.75118082e-04,rd,110,11,,010000100
4.75152082e-04,pre_pb,110,11,,
4.75167842e-04,act,110,11,1111000010010010,
4.75184562e-04,rd,110,11,,001000100
4.75234402e-04,pre_pb,110,11,,
4.75265282e-04,act,110,11,1111000010001001,
4.75281842e-04,rd,110,11,,010000100
4.75304162e-04,pre_pb,110,11,,
4.75320002e-04,act,110,11,1111000010010010,
4.75336642e-04,rd,110,11,,001000100
4.75386562e-04,pre_pb,110,11,,
4.75417282e-04,act,110,11,1111000010001001,
4.75433922e-04,rd,110,11,,010000100
4.75456322e-04,pre_pb,110,11,,
4.75472162e-04,act,110,11,1111000010010010,
4.75488802e-04,rd,110,11,,001000100
4.75538562e-04,pre_pb,110,11,,
4.75569362e-04,act,110,11,1111000010001001,
4.75586082e-04,rd,110,11,,010000100
4.75609362e-04,pre_pb,110,11,,
4.75625122e-04,act,110,11,1111000010010010,
4.75641682e-04,rd,110,11,,001000100
4.75691682e-04,pre_pb,110,11,,
4.75722482e-04,act,110,11,1111000010001001,
4.75739042e-04,rd,110,11,,010000100
4.75762322e-04,pre_pb,110,11,,
4.75778162e-04,act,110,11,1111000010010010,
4.75794722e-04,rd,110,11,,001000100
4.75844722e-04,pre_pb,110,11,,
4.75876322e-04,act,110,11,1111000010001001,
4.75892882e-04,rd,110,11,,010000100
4.75915282e-04,pre_pb,110,11,,
4.75942642e-04,act,110,11,1111000010010010,
4.75959282e-04,rd,110,11,,001000100
4.76009202e-04,pre_pb,110,11,,
4.76040882e-04,act,110,11,1111000010001001,
4.76057522e-04,rd,110,11,,010000100
4.76080642e-04,pre_pb,110,11,,
4.76096482e-04,act,110,11,1111000010010010,
4.76113122e-04,rd,110,11,,001000100
4.76163122e-04,pre_pb,110,11,,
4.76195442e-04,act,110,11,1111000010001001,
4.76212082e-04,rd,110,11,,010000100
4.76232962e-04,pre_pb,110,11,,
4.76248802e-04,act,110,11,1111000010010010,
4.76265442e-04,rd,110,11,,001000100
4.76315202e-04,pre_pb,110,11,,
4.76356722e-04,ref_sb,,11,,
4.76491602e-04,act,110,11,1111000010001001,
4.76508082e-04,rd,110,11,,010000100
4.76524642e-04,pre_pb,110,11,,
4.76540562e-04,act,110,11,1111000010010010,
4.76557282e-04,rd,110,11,,001000100
4.76613762e-04,pre_pb,110,11,,
4.76623762e-04,pre_ab,,,,
4.76642082e-04,ref_ab,,,,
4.76812562e-04,act,110,11,1111000010001001,
4.76829202e-04,rd,110,11,,010000100
4.76845842e-04,pre_pb,110,11,,
4.76861602e-04,act,110,11,1111000010010010,
4.76878162e-04,rd,110,11,,001000100
4.76941362e-04,pre_pb,110,11,,
4.76960482e-04,act,110,11,1111000010001001,
4.76977122e-04,rd,110,11,,010000100
4.76998802e-04,pre_pb,110,11,,
4.77014642e-04,act,110,11,1111000010010010,
4.77031122e-04,rd,110,11,,001000100
4.77094482e-04,pre_pb,110,11,,
4.77114402e-04,act,110,11,1111000010001001,
4.77131042e-04,rd,110,11,,010000100
4.77156002e-04,pre_pb,110,11,,
4.77171762e-04,act,110,11,1111000010010010,
4.77188402e-04,rd,110,11,,001000100
4.77251602e-04,pre_pb,110,11,,
4.77269922e-04,ref_sb,,11,,
4.77404722e-04,act,110,11,1111000010001001,
4.77421282e-04,rd,110,11,,010000100
4.77437922e-04,pre_pb,110,11,,
4.77453762e-04,act,110,11,1111000010010010,
4.77470402e-04,rd,110,11,,001000100
4.77547042e-04,pre_pb,110,11,,
4.77562802e-04,act,110,11,1111000010001001,
4.77579442e-04,rd,110,11,,010000100
4.77596082e-04,pre_pb,110,11,,
4.77611842e-04,act,110,11,1111000010010010,
4.77628562e-04,rd,110,11,,001000100
4.77704962e-04,pre_pb,110,11,,
4.77720802e-04,act,110,11,1111000010001001,
4.77737442e-04,rd,110,11,,010000100
4.77754002e-04,pre_pb,110,11,,
4.77769842e-04,act,110,11,1111000010010010,
4.77786562e-04,rd,110,11,,001000100
4.77868802e-04,pre_pb,110,11,,
4.77884642e-04,act,110,11,1111000010001001,
4.77901362e-04,rd,110,11,,010000100
4.77917922e-04,pre_pb,110,11,,
4.77933762e-04,act,110,11,1111000010010010,
4.77950402e-04,rd,110,11,,001000100
4.78006882e-04,pre_pb,110,11,,
4.78031842e-04,act,110,11,1111000010001001,
4.78048562e-04,rd,110,11,,010000100
4.78071042e-04,pre_pb,110,11,,
4.78086802e-04,act,110,11,1111000010010010,
4.78103442e-04,rd,110,11,,001000100
4.78160082e-04,pre_pb,110,11,,
4.78184162e-04,act,110,11,1111000010001001,
4.78200802e-04,rd,110,11,,010000100
4.78224162e-04,pre_pb,110,11,,
4.78240002e-04,act,110,11,1111000010010010,
4.78256642e-04,rd,110,11,,001000100
4.78313042e-04,pre_pb,110,11,,
4.78337282e-04,act,110,11,1111000010001001,
4.78353922e-04,rd,110,11,,010000100
4.78376402e-04,pre_pb,110,11,,
4.78392162e-04,act,110,11,1111000010010010,
4.78408722e-04,rd,110,11,,001000100
4.78465362e-04,pre_pb,110,11,,
4.78489442e-04,act,110,11,1111000010001001,
4.78506162e-04,rd,110,11,,010000100
4.78529522e-04,pre_pb,110,11,,
4.78545362e-04,act,110,11,1111000010010010,
4.78562002e-04,rd,110,11,,001000100
4.78618482e-04,pre_pb,110,11,,
4.78642562e-04,act,110,11,1111000010001001,
